Year,Country,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong SAR","China, Macao SAR",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Dem. People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Fed. States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Reunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,TFYR Macedonia,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
2000,Bermuda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,28,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2,579",N/A,N/A,N/A,N/A,N/A,N/A,170,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18,N/A,N/A,N/A,N/A,N/A,28,N/A,N/A,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,122,N/A,N/A,N/A,N/A,N/A,234,46,N/A,102,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71,"1,291",N/A,N/A,N/A,N/A,283,N/A,N/A,N/A,94,N/A,33,76,432,266,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68,N/A,N/A,N/A,N/A,22,N/A,N/A,N/A,N/A,N/A,192,28,"1,763",N/A,N/A,N/A,N/A,N/A,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90,N/A,109,N/A,N/A,N/A,N/A,N/A,N/A,119,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47,N/A,60,N/A,113,N/A,N/A,N/A,N/A,"4,883",N/A,"3,439",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2000,Canada,"22,359","6,205","20,571",N/A,N/A,"2,446",139,"2,313","13,698","1,828",600,"18,729","22,161","1,074","1,273","1,327","22,310","14,862","4,363","20,211","1,382",507,"1,912",35,"2,397","25,945",188,"13,327",119,"4,338","9,449",322,"2,323",322,"18,784","2,278",N/A,N/A,89,173,614,N/A,"24,970","412,162","237,754","6,805","17,942",40,282,N/A,"2,529","1,723","39,628","5,269",N/A,"4,318","16,308",109,"9,934","17,972",496,"2,798","5,106","11,261","36,444","38,826",15,"4,779","6,369","14,208",N/A,N/A,"22,553","14,148","74,561",50,144,426,233,773,"175,979","16,823",253,"75,794",N/A,"8,890",347,N/A,"13,960","1,322",50,"83,357","53,390",N/A,"4,462","50,236",446,"319,138","10,356","74,284","26,401","25,960",N/A,"16,625","315,058","120,632","26,004","5,106","3,779","20,447",N/A,"9,513",600,"14,178","7,651","67,856",94,679,"2,481",N/A,"6,854",525,"1,932",391,"21,280",N/A,831,"9,379",N/A,287,149,"6,611",N/A,"42,332",N/A,109,129,N/A,610,"25,727",881,"3,724",302,N/A,"1,134","117,329",114,"9,384","9,444",203,"10,326",N/A,N/A,"6,319",555,"82,440",N/A,"2,495",297,"4,972","17,932","236,877","180,074","154,283",258,"1,089","81,955","2,358",64,"60,745","50,335","2,634",N/A,"2,471","3,214",372,"8,751",64,N/A,N/A,"9,840","1,798",N/A,"1,035","1,010","9,543",N/A,"10,617","9,280",N/A,"20,146","36,949",N/A,"10,554","90,795","5,572","7,403",831,164,"7,468","20,621","15,827",114,"7,265","8,687",N/A,743,N/A,104,"64,523","5,418","17,605",109,10,N/A,"10,924","52,484","6,517","608,742","19,675","255,952",35,"6,240","1,505",N/A,"7,958","148,701",N/A,N/A,"1,050","2,234","4,051"
2000,Greenland,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"5,849",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,263,N/A,N/A,14,8,N/A,N/A,N/A,N/A,N/A,42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,126,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,8,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,110,N/A,N/A,N/A,N/A,36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24,N/A,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2000,Saint Pierre and Miquelon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,208,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,970,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2000,United States of America,"46,342","39,644","11,158",N/A,N/A,"4,475",N/A,"18,789","128,397","66,937","3,910","62,513","65,264","14,565","28,788",N/A,"97,713","53,496","39,480","34,755","41,170",N/A,"8,591",N/A,"54,630","101,273",N/A,"217,822",N/A,N/A,"35,981",N/A,N/A,"27,281","140,456","12,063","841,612",N/A,N/A,N/A,N/A,N/A,"82,855","1,348,465","208,749","6,888","522,819",N/A,N/A,N/A,"73,694","7,355","41,946","894,876",N/A,"11,368","85,190",N/A,"5,115","32,219",N/A,"16,036","705,139","306,208","116,275","838,090",N/A,"17,962","10,033","71,296",N/A,N/A,"31,674","21,951","154,992",N/A,N/A,N/A,"5,911","10,795","724,649","67,237",N/A,"169,958",N/A,"30,015",N/A,N/A,"492,870","5,190",N/A,"216,551","429,964",N/A,"290,034","94,353","5,694","1,048,517","74,394","290,417","92,174","160,447",N/A,"112,505","485,357","567,890","356,364","47,982","9,386","41,715",N/A,"20,884","2,436","209,471","27,923","108,599",N/A,"40,020","5,500",N/A,"29,213","2,204",N/A,N/A,"50,714",N/A,N/A,"8,777","6,478",N/A,N/A,N/A,N/A,"9,410,529","7,267",N/A,N/A,N/A,"4,004","35,562",N/A,"33,415",N/A,N/A,"12,012","96,971",N/A,"23,452","225,929",N/A,"138,366",N/A,N/A,"33,024",N/A,"229,151",N/A,"107,847",N/A,"12,284","285,249","1,403,834","478,593","208,276","1,576,432",N/A,"886,067","20,002",N/A,"139,418","348,815",N/A,N/A,"11,334","13,867",N/A,"20,491","16,855",N/A,N/A,"21,618","10,801","10,545",N/A,"21,359","21,289",N/A,N/A,"6,124",N/A,"36,668","65,171",N/A,"84,962","25,904","25,706","20,292","5,720",N/A,"50,986","44,200","55,946","2,732","19,154","174,112",N/A,N/A,N/A,"17,707","202,410","6,490","80,368",918,N/A,N/A,"12,039","282,139","6,915","694,961","11,678",N/A,N/A,"25,673","23,613",N/A,"109,748","1,013,266",N/A,N/A,"19,697","6,139","10,957"
2000,Australia,"12,590","1,570","1,180",120,20,410,N/A,10,"12,050",990,30,N/A,"21,660",150,270,770,"8,480",370,"1,350","5,340",N/A,10,410,40,700,"28,690",650,"4,760",N/A,"2,090","3,030",N/A,N/A,N/A,"24,990",40,"30,240",N/A,N/A,N/A,10,N/A,"26,100","144,710","75,450","2,080","4,000",N/A,120,"4,620",360,50,"58,250",490,70,"22,840","13,140",410,310,"9,940",90,N/A,60,"1,470","37,620","10,690",N/A,"1,760","1,970","3,640",20,140,"46,690","9,410","18,130",N/A,380,N/A,N/A,310,"119,070","2,160",460,"130,790",N/A,90,N/A,30,320,N/A,10,530,60,N/A,160,"26,120",590,"90,710","58,670","21,400","26,500","53,580",700,"7,390","234,070",950,"25,300","3,490",390,"7,200",470,"2,500",70,"10,470","7,390","79,050",20,100,"1,430",N/A,"3,860",170,160,550,"84,670",140,N/A,"52,620",10,20,N/A,"18,530",N/A,"1,260",10,N/A,120,"5,340",N/A,"1,370",640,"12,120",500,490,"2,000","92,820","1,240","365,060",800,N/A,"1,820",470,N/A,"4,000",320,"10,950",N/A,150,N/A,390,"5,770","112,210","66,920","17,990",120,260,"36,160",600,50,"14,220","16,810",10,10,20,10,N/A,70,"13,110",N/A,N/A,"1,530",230,"52,070","2,820",260,"34,250",N/A,"6,370","8,660","1,400","3,740","80,640",N/A,"14,160","58,220","3,080","4,090",80,230,"7,140","12,070","7,340",10,"49,560","23,090",N/A,N/A,300,"8,110","1,420",500,"34,070",10,N/A,100,"1,440","17,030","1,390","1,130,210","2,010","59,720",N/A,"10,570",500,"1,090","1,170","163,720",N/A,N/A,390,"3,470","12,110"
2000,New Zealand,714,N/A,N/A,N/A,N/A,N/A,N/A,N/A,373,N/A,N/A,"54,744","1,170",N/A,N/A,N/A,"1,155",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,638,N/A,N/A,N/A,N/A,N/A,N/A,"4,643",N/A,"7,563",N/A,N/A,N/A,N/A,N/A,735,"37,900","10,996",N/A,209,N/A,N/A,"14,811",N/A,N/A,"2,218",N/A,N/A,N/A,644,N/A,N/A,"1,395",N/A,N/A,N/A,N/A,"1,146",N/A,N/A,N/A,N/A,635,N/A,N/A,"25,029",N/A,"1,573",N/A,N/A,N/A,N/A,N/A,"8,152",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,962,N/A,"20,329","3,689","1,925","4,717","6,547",N/A,N/A,"1,400",N/A,"8,389",N/A,N/A,"1,120",492,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"11,151",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,682,N/A,N/A,335,"21,639",N/A,N/A,N/A,N/A,N/A,"5,181",N/A,N/A,N/A,"1,283",N/A,N/A,"1,117",N/A,N/A,"9,860","1,884",N/A,N/A,N/A,"17,448",N/A,N/A,892,"2,837",N/A,N/A,N/A,N/A,N/A,N/A,"45,849",N/A,N/A,250,N/A,N/A,N/A,N/A,"3,803",N/A,N/A,N/A,N/A,"1,724","25,359",N/A,N/A,"6,001",N/A,N/A,N/A,N/A,933,"2,688",N/A,N/A,N/A,"5,014",N/A,N/A,"1,617","17,564",N/A,N/A,N/A,N/A,N/A,989,N/A,817,N/A,"211,532",N/A,"12,984",N/A,N/A,N/A,N/A,N/A,"3,841",N/A,N/A,N/A,921,"2,807"
2000,Fiji,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,489",N/A,N/A,N/A,N/A,"1,287",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,833,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,292",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,698,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,870,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,456",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,266,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,634,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,199",N/A,N/A,N/A,N/A,N/A,371,N/A,N/A,N/A,528,N/A,N/A,N/A,N/A,N/A,167,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2000,New Caledonia,N/A,N/A,676,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,298,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,635,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,101,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"25,504",N/A,"3,593",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,079",N/A,N/A,N/A,N/A,N/A,304,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,679,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,631,N/A,N/A,N/A,N/A,N/A,N/A,N/A,129,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,124,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,720,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"4,156",N/A,658,"7,325",N/A,N/A,N/A,N/A
2000,Papua New Guinea,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"10,675",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,274,N/A,N/A,N/A,N/A,N/A,N/A,103,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,182,"5,460",N/A,N/A,50,N/A,N/A,N/A,N/A,201,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,948",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,537",N/A,N/A,N/A,N/A,66,N/A,N/A,N/A,31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53,N/A,N/A,N/A,247,N/A,N/A,N/A,N/A,89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,680",28,851,N/A,N/A,N/A,116,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2000,Solomon Islands,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,340,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,228,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,208,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81,N/A,N/A,N/A,N/A,N/A,N/A,N/A,96,N/A,N/A,N/A,934,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,126,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,122,134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,047",N/A,N/A,140,N/A,N/A,N/A,N/A,37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81,N/A,128,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2000,Vanuatu,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,450,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,129,N/A,240,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,146,173,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2000,Guam,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2,710",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2,446",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,250,N/A,N/A,N/A,N/A,N/A,"6,961",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2,176",N/A,N/A,N/A,"1,335",N/A,N/A,N/A,N/A,"32,625",N/A,N/A,193,N/A,"3,240",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"19,095",N/A,N/A,N/A,N/A,N/A,351,N/A,N/A,N/A,N/A,N/A
